T,TM,Tm,H,PP,VV,V,VM,PM 2.5
-2.6,0,-4.6,99,0,2.4,6.7,9.4,104
0.6,2,-1,99,0,2.3,6.7,14.8,77
-0.3,1,-2.1,100,1.52,1.4,7.8,18.3,79
-1.3,2.2,-4.5,83,0,6,10.4,18.3,90
5,7.2,0.2,99,0.51,3.2,4.8,9.4,103
5.9,8,3.5,99,0.51,3.2,12.4,24.1,98
2.7,8.1,1,84,6.35,9.8,24.6,37,56
1.7,4,-0.4,89,2.79,9.2,13,20.6,0
0.9,3.3,-1,94,0.51,5.6,9.8,16.5,0
-2.3,3,-6.6,78,0,7.2,9.4,18.3,113
-1.4,0,-4.1,87,0,6.6,13.1,20.6,136
-1.8,3,-5.5,72,0,6.6,17.2,27.8,112
4,8.4,-1.2,76,0.51,7.4,17,24.1,150
10.4,11.3,9.7,99,2.03,2.4,6.1,14.8,60
10.4,12.4,8.7,90,0.25,7.2,15.4,27.8,84
9.9,13,6.6,83,0,9.7,17,25.9,71
8.8,12.5,6,81,0.51,10.3,24.6,40.7,66
6.5,10.3,4,86,5.33,6.6,13.3,22.2,56
4.8,7.4,2.7,87,2.54,9,13.1,22.2,60
3.4,6.3,1,85,0,6.1,13.1,22.2,74
5.4,10,2,74,0.51,8.4,22.8,31.7,117
7.6,14.1,3.3,72,0,8.9,20,27.8,99
10.9,17,5,72,0,9.8,11.9,24.1,107
4.9,12,-2,86,0,6.4,8.1,16.5,108
9.8,12,7.5,89,0.25,7.9,15.9,22.2,106
11,12.3,9.5,88,0.25,9.7,20.6,27.8,61
9.6,13,6,71,0,10.5,21.3,38.9,74
9.6,12,5,72,0,10.9,36.5,61.1,50
7.9,11,5.5,87,2.03,8.7,24.8,37,36
8.8,12.6,5.7,63,13.97,10.9,21.5,29.4,33
9.9,14.3,5.2,69,0,12.6,17.4,24.1,48
7,10.2,4.7,75,3.56,10.9,14.8,24.1,46
9.5,13.5,4.9,94,0.51,8,21.5,29.4,54
12.2,14,8,88,2.79,9.7,18.1,24.1,45
10,15,5.7,80,0.25,6.8,14.6,27.8,101
9.7,15.5,4,78,0,9.2,10.2,18.3,99
11.4,15.4,8.9,77,0,10.6,6.9,13,71
11.8,14,10,79,1.02,9,21.7,31.7,41
11.2,12.5,10,70,0.25,11.6,22.2,31.7,46
9.1,11.7,6,69,0.51,10,14.1,22.2,39
11.2,19,5,59,0.51,8.4,20.7,37,93
11.4,17.5,5.4,61,0,18,14.4,24.1,81
15.1,20.4,11.9,59,0,11.4,17.2,29.4,62
12.6,17.2,9,66,1.27,10.6,10.4,16.5,55
12.2,18,6.5,67,0,12.9,9.6,16.5,48
12.9,20,6,59,0,9,9.4,14.8,58
13,20.2,6,62,0,6.3,10.4,14.8,96
16.4,25.2,7,46,0,7.9,5.4,9.4,123
11,15.6,6.7,72,0,9.7,8.5,13,52
12.1,16.1,8.6,60,0,10.5,9.6,18.3,59
10.8,15,8,78,0,10.3,13.5,22.2,61
6,11,1,55,0.51,10.6,17.6,27.8,47
10.7,18.1,2.9,50,0,13,8.1,18.3,70
8.2,15.2,5,52,0.51,11.4,13.5,22.2,60
5.7,11,0.6,68,0,11.1,12.6,22.2,47
5.8,11.4,1,63,1.27,11.6,14.4,24.1,50
11.3,16,7,59,9.91,11.4,25,37,44
12.1,17.4,6.5,61,0,11.3,11.3,22.2,50
9.6,14,8.6,89,0,7.1,9.1,18.3,52
10.8,14,8,88,6.35,6.8,15.4,22.2,76
9.4,12.4,7,85,1.52,8.2,14.4,22.2,70
10.3,16.1,4,65,0.25,9.3,17,22.2,55
15.6,20.4,11,69,36.32,10.3,16.5,24.1,55
15.3,19.4,12,70,0,11.1,13.5,24.1,51
18.1,24.3,11,58,5.84,15,10.2,16.5,42
11.9,17.2,9,74,12.95,10.8,15,35.2,37
12.9,18.4,7.7,66,7.62,12.1,12.6,24.1,52
16.1,21.1,9.9,58,0,12.6,10.6,18.3,52
18.2,23,12.6,64,0,11.4,7,14.8,38
20.7,26.3,13.6,61,0,15,10.4,14.8,68
20.9,27.6,16,72,0,10.3,9.1,22.2,78
16.2,22.4,11,86,8.13,8.7,10.6,16.5,68
15.1,20,10.5,58,9.65,11.1,23.9,31.7,51
18.4,25.8,15,65,12.7,10.1,14.1,24.1,55
17.5,23.6,11,64,0,12.1,8.5,18.3,43
23.3,28,16,58,0,12.6,13.9,27.8,60
29.1,35.5,20.3,46,0,13.7,8.3,14.8,0
22,27.1,17.9,58,0,11.6,15.6,25.9,0
21.4,27,15,64,0,13.4,8.5,14.8,0
20.9,26.2,18,79,0.51,10.9,8.5,20.6,0
16.6,21.5,13.9,81,8.89,9.2,16.5,24.1,0
16.6,23.3,13,81,7.37,10,13,22.2,0
18.6,24,13.5,67,2.54,10.5,11.5,20.6,0
22.4,28.7,17,68,0,11.7,12,27.8,0
18.9,24,13,61,0.51,11.1,10.9,16.5,0
18.3,23.4,13,60,0,11.6,15.4,29.4,0
19.2,25.7,12,56,0,12.1,7.4,14.8,0
25.7,32.2,22,56,0,11.1,18.9,33.5,0
20,25.7,15,67,0,10.9,19.6,33.5,0
20.1,25.2,14.6,51,0.51,15,13.1,24.1,0
17.7,23,14,73,1.78,10,15.9,25.9,0
18.1,24.2,13,77,0,10.5,13.7,29.4,0
18.9,22,15,71,1.02,10.3,12.6,22.2,0
19.6,24.1,14.9,59,0,12.2,8,14.8,0
20.2,26.3,15,62,1.52,12.6,10.2,20.6,0
22.8,27.7,18,53,0.76,11.9,23.3,35.2,0
15.9,25.1,14,81,1.27,12.9,12.8,31.7,0
15.2,19.4,12,80,6.1,11.3,8.7,18.3,0
17.3,23,11.6,66,2.29,10.9,5.4,9.4,0
20.2,27,12,58,0,12.6,7,14.8,0
22,26.3,18,65,0,13.8,14.1,24.1,0
16.6,22.1,12,65,2.79,11.6,16.5,24.1,0
17.2,23,11,58,0.25,14,9.4,14.8,0
19.6,23.4,16.6,70,0,10,8.7,18.3,0
19.1,22.1,16.5,84,0,11.7,10.6,22.2,0
21.9,28,16.7,75,8.38,4.7,5.9,13,0
22.1,28,17,71,0,9.3,7,16.5,0
15.7,20.5,11,70,1.52,9.7,11.7,18.3,0
16.3,22.2,13,68,0,11.6,7.4,25.9,0
15.7,21,11.4,67,0.76,10.8,10.4,24.1,0
16.3,21.3,10,64,0,11.4,10.6,18.3,0
16.1,21,12.7,71,0.25,10.1,12.4,24.1,0
16.3,18.7,14,83,0.76,9.2,22,38.9,0
14.8,18.4,11,76,28.7,10.3,18.5,29.4,0
14.8,18,11.9,86,6.86,8,27.2,44.6,0
13.3,17.3,11,76,28.7,9.8,24.3,40.7,0
12.1,17.7,8.9,79,0.25,11.1,11.5,27.8,0
12.7,18,9.6,77,6.6,9.8,9.8,18.3,0
13.1,18.3,7.5,74,0.25,11.4,7.2,11.1,0
16.9,20.2,14.8,72,0,10.9,10.7,16.5,0
17.5,22.4,14.8,76,0.25,8,5.9,9.4,0
15.6,20,11.9,85,0,7.1,9.6,18.3,0
12.6,18,8,81,9.14,11.7,6.1,11.1,0
15.6,21.1,10.7,79,0.51,11.6,6.9,16.5,0
15.4,18.4,12,80,0.51,11.7,9.6,18.3,0
8.4,15.4,1.3,72,0,15.9,5.6,13,0
11.1,16,3.6,77,0,10.9,7.6,18.3,0
12.3,18.4,8,74,0,11.6,7.2,20.6,0
13.2,23.6,5.7,72,0,9.2,9.4,16.5,0
15.1,23.5,8,72,0,6,10.7,22.2,0
15,21.4,7.8,68,0,10.8,11.1,24.1,72
14.9,23.3,5,76,0,12.7,13.3,35.2,47
11.4,17.4,7,80,0,11.3,19.4,31.7,91
3.8,11.1,-0.5,78,0,11.4,6.1,14.8,57
6.3,17,-1.8,74,0,8,10.4,18.3,84
9.4,19,3.4,76,0,10.9,10.2,18.3,87
4,5.3,3,84,0,10.3,10.2,22.2,62
4.6,7,3,82,0,9.8,5.4,13,85
4.2,6,2.9,84,0,10.3,12.4,24.1,114
3.9,6,0.9,83,8.38,11.6,31.7,42.4,42
3.6,7,0,81,0.51,11.4,19.1,37,43
0.6,4,-4,86,0,8,7.2,16.5,71
3.4,9,-2,84,0,10,6.1,16.5,81
2.7,7.1,-2,85,0,9.7,8,14.8,56
7.1,11.4,1,81,0.51,8.9,10,27.8,57
2.4,5.6,0,81,20.57,12.1,12.4,20.6,51
1.3,8,-3,77,0,15,6.3,14.8,45
-0.7,0.7,-1.4,91,5.08,5.6,7.6,24.1,53
-1.1,0.1,-2.5,84,3.3,10.3,17.6,25.9,60
-2.6,-0.2,-5,84,0,8.9,16.3,27.8,117
2.8,10.5,-3.5,83,0,8.4,13,18.3,96
4.4,7.2,0,84,8.64,9,7.2,27.8,62
-0.4,2.7,-5,81,2.29,10.5,10.2,16.5,47
0.8,7,-5.3,83,1.78,9.3,6.9,35.2,52
8.3,10.3,2.6,71,1.52,12.1,19.4,35.2,54
4.7,10.3,1.7,79,0,12.2,11.1,35.2,37
1.9,3.4,0.6,89,3.3,9.2,7,16.5,55
3,4,1.8,88,0,9.7,10,20.6,78
3.5,5.4,2,87,0.51,8.7,6.9,14.8,84
2.9,8,-2.5,89,0,4.3,9.1,18.3,44
6.1,9.2,2,86,0,10.9,10.2,20.6,36
5.2,8,1.8,78,3.56,11.3,13.7,29.4,45
